Programa,Cohorte,Fecha_Primer_Inscrito,Mes_Lanzamiento,Costo_Oficial_Bs,Seno_Mes,Coseno_Mes,Tipo_Programa_Curso,Tipo_Programa_Diplomado,Categoria_Administración,Categoria_Derecho,Categoria_Educación,Categoria_Investigación,Categoria_Psicología,Categoria_Salud,Categoria_Tecnología,Tamano_Cohorte
"DERECHO DE FAMILIA (PROCESO FAMILIAR, LEY 348)",Edición Ene 2024,2023-09-06,9,120.0,-1.0,-1.8369701987210297e-16,1,0,0,1,0,0,0,0,0,20
"DERECHO DE FAMILIA (PROCESO FAMILIAR, LEY 348)",Edición Jul 2025,2023-09-20,9,120.0,-1.0,-1.8369701987210297e-16,1,0,0,1,0,0,0,0,0,20
"DERECHO DE FAMILIA (PROCESO FAMILIAR, LEY 348)",Edición Jun 2025,2023-09-18,9,120.0,-1.0,-1.8369701987210297e-16,1,0,0,1,0,0,0,0,0,20
"DERECHO DE FAMILIA (PROCESO FAMILIAR, LEY 348)",Edición May 2024,2023-10-04,10,120.0,-0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,0,0,0,20
"DERECHO DE FAMILIA (PROCESO FAMILIAR, LEY 348)",Edición Sep 2024,2023-09-07,9,120.0,-1.0,-1.8369701987210297e-16,1,0,0,1,0,0,0,0,0,20
DERECHO DE FAMILIA VIOLENCIA INTRAFAMILIAR LEY 348 Y MEDIDAS DE PROTECCION,Edición Ago 2025,2023-10-10,10,130.0,-0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,0,0,0,20
DERECHO DE FAMILIA VIOLENCIA INTRAFAMILIAR LEY 348 Y MEDIDAS DE PROTECCION,Edición Ene 2024,2023-09-12,9,130.0,-1.0,-1.8369701987210297e-16,1,0,0,1,0,0,0,0,0,20
DERECHO DE FAMILIA VIOLENCIA INTRAFAMILIAR LEY 348 Y MEDIDAS DE PROTECCION,Edición Feb 2025,2023-09-22,9,130.0,-1.0,-1.8369701987210297e-16,1,0,0,1,0,0,0,0,0,20
DERECHO DE FAMILIA VIOLENCIA INTRAFAMILIAR LEY 348 Y MEDIDAS DE PROTECCION,Edición Nov 2024,2023-12-24,12,130.0,-2.4492935982947064e-16,1.0,1,0,0,1,0,0,0,0,0,20
DERECHO DE FAMILIA VIOLENCIA INTRAFAMILIAR LEY 348 Y MEDIDAS DE PROTECCION,Edición Oct 2023,2023-09-03,9,130.0,-1.0,-1.8369701987210297e-16,1,0,0,1,0,0,0,0,0,20
DERECHO FAMILIAR Y SU PROCEDIMIENTO: ASISTENCIA FAMILIAR LEY 603,Edición Ago 2023,2024-09-12,9,120.0,-1.0,-1.8369701987210297e-16,1,0,0,1,0,0,0,0,0,6
DERECHO FAMILIAR Y SU PROCEDIMIENTO: ASISTENCIA FAMILIAR LEY 603,Edición Dic 2024,2023-10-03,10,120.0,-0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,0,0,0,6
DERECHO FAMILIAR Y SU PROCEDIMIENTO: ASISTENCIA FAMILIAR LEY 603,Edición Ene 2026,2023-09-11,9,120.0,-1.0,-1.8369701987210297e-16,1,0,0,1,0,0,0,0,0,6
DERECHO FAMILIAR Y SU PROCEDIMIENTO: ASISTENCIA FAMILIAR LEY 603,Edición May 2025,2023-09-28,9,120.0,-1.0,-1.8369701987210297e-16,1,0,0,1,0,0,0,0,0,6
DERECHO FAMILIAR Y SU PROCEDIMIENTO: ASISTENCIA FAMILIAR LEY 603,Edición Nov 2025,2023-11-29,11,120.0,-0.5000000000000004,0.8660254037844384,1,0,0,1,0,0,0,0,0,6
DERECHO FAMILIAR Y SU PROCEDIMIENTO: ASISTENCIA FAMILIAR LEY 603,Edición Oct 2024,2024-08-16,8,120.0,-0.8660254037844384,-0.5000000000000004,1,0,0,1,0,0,0,0,0,6
"DERECHO PROCESAL PENAL, TECNICAS DE LITIGACION Y BENEFICIOS PENITENCIARIOS",Edición Ago 2025,2024-01-08,1,2500.0,0.49999999999999994,0.8660254037844387,0,1,0,1,0,0,0,0,0,10
"DERECHO PROCESAL PENAL, TECNICAS DE LITIGACION Y BENEFICIOS PENITENCIARIOS",Edición Dic 2025,2023-09-14,9,2500.0,-1.0,-1.8369701987210297e-16,0,1,0,1,0,0,0,0,0,10
"DERECHO PROCESAL PENAL, TECNICAS DE LITIGACION Y BENEFICIOS PENITENCIARIOS",Edición Feb 2024,2023-10-06,10,2500.0,-0.8660254037844386,0.5000000000000001,0,1,0,1,0,0,0,0,0,10
"DERECHO PROCESAL PENAL, TECNICAS DE LITIGACION Y BENEFICIOS PENITENCIARIOS",Edición Sep 2024,2024-08-03,8,2500.0,-0.8660254037844384,-0.5000000000000004,0,1,0,1,0,0,0,0,0,10
DETECCION E INTERVENCION EN EL APEGO EMOCIONAL: ROMPIENDO PATRONES,Edición Dic 2024,2024-01-22,1,150.0,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,1,0,0,7
DETECCION E INTERVENCION EN EL APEGO EMOCIONAL: ROMPIENDO PATRONES,Edición Dic 2025,2024-05-04,5,150.0,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,1,0,0,7
DETECCION E INTERVENCION EN EL APEGO EMOCIONAL: ROMPIENDO PATRONES,Edición Jul 2025,2023-09-29,9,150.0,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,1,0,0,7
DETECCION E INTERVENCION EN EL APEGO EMOCIONAL: ROMPIENDO PATRONES,Edición Jun 2024,2023-09-20,9,150.0,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,1,0,0,7
DETECCION E INTERVENCION EN EL APEGO EMOCIONAL: ROMPIENDO PATRONES,Edición Nov 2023,2023-12-17,12,150.0,-2.4492935982947064e-16,1.0,1,0,0,0,0,0,1,0,0,14
DSM-T-TR Y CIE-11: APLICACION DESDE LA TEORIA A LA PRACTICA,Edición Abr 2025,2024-03-08,3,100.0,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,1,0,10
DSM-T-TR Y CIE-11: APLICACION DESDE LA TEORIA A LA PRACTICA,Edición Dic 2023,2024-01-02,1,100.0,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,0,1,0,10
DSM-T-TR Y CIE-11: APLICACION DESDE LA TEORIA A LA PRACTICA,Edición Ene 2024,2024-07-07,7,100.0,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,0,1,0,10
DSM-T-TR Y CIE-11: APLICACION DESDE LA TEORIA A LA PRACTICA,Edición Ene 2025,2023-10-17,10,100.0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,1,0,10
DSM-T-TR Y CIE-11: APLICACION DESDE LA TEORIA A LA PRACTICA,Edición May 2024,2024-04-10,4,100.0,0.8660254037844387,-0.4999999999999998,1,0,0,0,0,0,0,1,0,10
DSM-T-TR Y CIE-11: APLICACION DESDE LA TEORIA A LA PRACTICA,Edición Oct 2023,2023-09-23,9,100.0,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,0,1,0,10
ECOGRAFIA GENERAL,Edición Abr 2025,2024-02-14,2,120.0,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,1,0,6
ECOGRAFIA GENERAL,Edición May 2025,2023-12-11,12,120.0,-2.4492935982947064e-16,1.0,1,0,0,0,0,0,0,1,0,6
ECOGRAFIA GENERAL,Edición Nov 2023,2024-04-29,4,120.0,0.8660254037844387,-0.4999999999999998,1,0,0,0,0,0,0,1,0,6
ECOGRAFIA GENERAL,Edición Nov 2025,2023-10-11,10,120.0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,1,0,6
EJECUCION PENAL Y APLICACION DE BENEFICIOS PENITENCIARIOS,Edición Ago 2023,2023-10-24,10,100.0,-0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,0,0,0,20
EJECUCION PENAL Y APLICACION DE BENEFICIOS PENITENCIARIOS,Edición Ene 2026,2023-10-20,10,100.0,-0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,0,0,0,40
EJECUCION PENAL Y APLICACION DE BENEFICIOS PENITENCIARIOS,Edición May 2025,2023-10-20,10,100.0,-0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,0,0,0,20
"ESCRITURA, EDICION Y PUBLICACION DE TEXTOS ACADEMICOS Y LITERARIOS",Edición Ene 2026,2024-02-01,2,2500.0,0.8660254037844386,0.5000000000000001,0,1,0,0,0,1,0,0,0,2
"ESCRITURA, EDICION Y PUBLICACION DE TEXTOS ACADEMICOS Y LITERARIOS",Edición Jul 2024,2024-06-09,6,2500.0,1.2246467991473532e-16,-1.0,0,1,0,0,0,1,0,0,0,4
"ESCRITURA, EDICION Y PUBLICACION DE TEXTOS ACADEMICOS Y LITERARIOS",Edición Nov 2023,2025-08-25,8,2500.0,-0.8660254037844384,-0.5000000000000004,0,1,0,0,0,1,0,0,0,2
"ESCRITURA, EDICION Y PUBLICACION DE TEXTOS ACADEMICOS Y LITERARIOS",Edición Oct 2024,2025-03-31,3,2500.0,1.0,6.123233995736766e-17,0,1,0,0,0,1,0,0,0,2
"ESQUIZOFRENIA, TRANSTORNO BIPOLAR, PSICOPATIAS Y TRANSTORNOS MENTALES",Edición Dic 2025,2024-01-10,1,100.0,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,1,0,0,7
"ESQUIZOFRENIA, TRANSTORNO BIPOLAR, PSICOPATIAS Y TRANSTORNOS MENTALES",Edición Ene 2024,2023-10-21,10,100.0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,1,0,0,7
"ESQUIZOFRENIA, TRANSTORNO BIPOLAR, PSICOPATIAS Y TRANSTORNOS MENTALES",Edición Sep 2024,2024-01-02,1,100.0,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,1,0,0,7
ESTADO DE DERECHO Y ORDEN CONSTITUCIONAL,Edición Jul 2024,2024-03-30,3,130.0,1.0,6.123233995736766e-17,1,0,0,1,0,0,0,0,0,6
ESTADO DE DERECHO Y ORDEN CONSTITUCIONAL,Edición Mar 2024,2023-11-29,11,130.0,-0.5000000000000004,0.8660254037844384,1,0,0,1,0,0,0,0,0,12
ESTRATEGIAS DE DETECCION DE INTERVENCION MULTIDISCIPLINARIA DE NIÑOS CON TDAH,Edición Ene 2026,2023-10-28,10,150.0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,1,0,0,40
ESTRATEGIAS DE DETECCION DE INTERVENCION MULTIDISCIPLINARIA DE NIÑOS CON TDAH,Edición Feb 2025,2024-01-02,1,150.0,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,1,0,0,20
ESTRATEGIAS DE DETECCION DE INTERVENCION MULTIDISCIPLINARIA DE NIÑOS CON TDAH,Edición Mar 2024,2023-10-09,10,150.0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,1,0,0,20
ESTRATEGIAS DE DETECCION DE INTERVENCION MULTIDISCIPLINARIA DE NIÑOS CON TDAH,Edición Sep 2025,2023-10-23,10,150.0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,1,0,0,20
ESTRATEGIAS DE DETECCION E INTERVENCION DE NIÑOS CON TEA,Edición Jun 2024,2023-10-08,10,150.0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,1,0,0,14
ESTRATEGIAS DE DETECCION E INTERVENCION DE NIÑOS CON TEA,Edición Mar 2025,2023-11-21,11,150.0,-0.5000000000000004,0.8660254037844384,1,0,0,0,0,0,1,0,0,7
ESTRATEGIAS DE DETECCION E INTERVENCION DE NIÑOS CON TEA,Edición Nov 2024,2023-09-19,9,150.0,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,1,0,0,7
ESTRATEGIAS DE DETECCION E INTERVENCION DE NIÑOS CON TEA,Edición Nov 2025,2024-01-14,1,150.0,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,1,0,0,7
ESTRATEGIAS DE DETECCION E INTERVENCION DE NIÑOS CON TEA,Edición Oct 2025,2023-09-04,9,150.0,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,1,0,0,7
ESTRATEGIAS DE DETECCION E INTERVENCION PSICOEDUCATIVA EN TDAH Y AUTISMO,Edición Abr 2024,2023-10-03,10,150.0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,1,0,0,20
ESTRATEGIAS DE DETECCION E INTERVENCION PSICOEDUCATIVA EN TDAH Y AUTISMO,Edición Abr 2026,2023-11-24,11,150.0,-0.5000000000000004,0.8660254037844384,1,0,0,0,0,0,1,0,0,20
ESTRATEGIAS DE DETECCION E INTERVENCION PSICOEDUCATIVA EN TDAH Y AUTISMO,Edición Dic 2025,2023-10-17,10,150.0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,1,0,0,20
ESTRATEGIAS DE DETECCION E INTERVENCION PSICOEDUCATIVA EN TDAH Y AUTISMO,Edición Mar 2025,2023-09-08,9,150.0,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,1,0,0,20
ESTRATEGIAS PARA DOMINAR EL ESTRES EN TIEMPOS DE CRISIS,Edición Abr 2026,2023-10-29,10,130.0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,1,0,0,10
ESTRATEGIAS PARA DOMINAR EL ESTRES EN TIEMPOS DE CRISIS,Edición Feb 2025,2023-12-22,12,130.0,-2.4492935982947064e-16,1.0,1,0,0,0,0,0,1,0,0,10
ESTRATEGIAS PARA DOMINAR EL ESTRES EN TIEMPOS DE CRISIS,Edición Nov 2023,2024-06-26,6,130.0,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,1,0,0,10
ESTRATEGIAS PARA DOMINAR EL ESTRES EN TIEMPOS DE CRISIS,Edición Nov 2025,2023-10-16,10,130.0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,1,0,0,10
ESTRATEGIAS PARA DOMINAR EL ESTRES EN TIEMPOS DE CRISIS,Edición Sep 2024,2023-11-03,11,130.0,-0.5000000000000004,0.8660254037844384,1,0,0,0,0,0,1,0,0,10
ESTRATEGIAS PEDAGOGICAS EN NIVEL INICIAL,Edición Ene 2026,2024-04-27,4,150.0,0.8660254037844387,-0.4999999999999998,1,0,0,0,1,0,0,0,0,7
ESTRATEGIAS PEDAGOGICAS EN NIVEL INICIAL,Edición May 2025,2024-01-24,1,150.0,0.49999999999999994,0.8660254037844387,1,0,0,0,1,0,0,0,0,7
ESTRATEGIAS PEDAGOGICAS EN NIVEL INICIAL,Edición Oct 2025,2023-11-25,11,150.0,-0.5000000000000004,0.8660254037844384,1,0,0,0,1,0,0,0,0,7
ESTRES AGUDO Y ESTRES POSTRAUMATICO: DIAGNOSTICO,Edición Abr 2024,2024-05-03,5,150.0,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,1,0,0,10
ESTRES AGUDO Y ESTRES POSTRAUMATICO: DIAGNOSTICO,Edición Feb 2026,2024-02-16,2,150.0,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,1,0,0,10
ESTRES AGUDO Y ESTRES POSTRAUMATICO: DIAGNOSTICO,Edición Jun 2025,2023-10-20,10,150.0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,1,0,0,10
ESTRES AGUDO Y ESTRES POSTRAUMATICO: DIAGNOSTICO,Edición Nov 2025,2023-11-15,11,150.0,-0.5000000000000004,0.8660254037844384,1,0,0,0,0,0,1,0,0,20
ESTRES AGUDO Y ESTRES POSTRAUMATICO: DIAGNOSTICO,Edición Sep 2025,2023-09-10,9,150.0,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,1,0,0,10
EVALUACION E INTERVENCION TEMPRANA EN NIÑOS CON TRANSTORNOS DEL ESPECTRO AUTISTA,Edición Feb 2026,2024-09-25,9,130.0,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,1,0,0,7
EVALUACION E INTERVENCION TEMPRANA EN NIÑOS CON TRANSTORNOS DEL ESPECTRO AUTISTA,Edición Mar 2025,2024-02-16,2,130.0,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,1,0,0,7
EVALUACION E INTERVENCION TEMPRANA EN NIÑOS CON TRANSTORNOS DEL ESPECTRO AUTISTA,Edición Oct 2025,2024-08-27,8,130.0,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0,0,1,0,0,7
GRAFOLOGIA INFANTO JUVENIL,Edición Abr 2024,2023-11-13,11,150.0,-0.5000000000000004,0.8660254037844384,1,0,0,0,0,0,1,0,0,3
GRAFOLOGIA INFANTO JUVENIL,Edición Ago 2023,2023-11-09,11,150.0,-0.5000000000000004,0.8660254037844384,1,0,0,0,0,0,1,0,0,3
GRAFOLOGIA INFANTO JUVENIL,Edición Mar 2025,2023-09-10,9,150.0,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,1,0,0,3
GRAFOLOGIA INFANTO JUVENIL,Edición Nov 2025,2024-08-01,8,150.0,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0,0,1,0,0,3
GRAFOLOGIA Y TEST PROYECTIVOS,Edición Ene 2025,2024-06-09,6,120.0,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,1,0,0,3
GRAFOLOGIA Y TEST PROYECTIVOS,Edición Jun 2024,2025-05-29,5,120.0,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,1,0,0,3
GRAFOLOGIA Y TEST PROYECTIVOS,Edición May 2025,2024-03-22,3,120.0,1.0,6.123233995736766e-17,1,0,0,0,0,0,1,0,0,3
GRAFOLOGIA Y TEST PROYECTIVOS,Edición Oct 2024,2024-09-15,9,120.0,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,1,0,0,3
HACKING ETICO Y CIBERSEGURIDAD,Edición Ago 2025,2025-05-06,5,2500.0,0.49999999999999994,-0.8660254037844387,0,1,0,0,0,0,0,0,1,3
HACKING ETICO Y CIBERSEGURIDAD,Edición Mar 2025,2024-01-03,1,2500.0,0.49999999999999994,0.8660254037844387,0,1,0,0,0,0,0,0,1,3
HACKING ETICO Y CIBERSEGURIDAD,Edición Sep 2023,2024-01-14,1,2500.0,0.49999999999999994,0.8660254037844387,0,1,0,0,0,0,0,0,1,3
HERRAMIENTAS TECNOLOGICAS,Edición Ene 2025,2024-04-21,4,120.0,0.8660254037844387,-0.4999999999999998,1,0,0,0,0,0,0,0,1,7
HERRAMIENTAS TECNOLOGICAS,Edición Feb 2025,2023-10-24,10,120.0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,1,7
HERRAMIENTAS TECNOLOGICAS,Edición Mar 2025,2023-12-01,12,120.0,-2.4492935982947064e-16,1.0,1,0,0,0,0,0,0,0,1,7
INFORME FORENSE Y PERITAJE PSICOLOGICO,Edición Ago 2023,2023-11-01,11,120.0,-0.5000000000000004,0.8660254037844384,1,0,0,0,0,0,1,0,0,20
INFORME FORENSE Y PERITAJE PSICOLOGICO,Edición Dic 2024,2023-09-13,9,120.0,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,1,0,0,20
INFORME FORENSE Y PERITAJE PSICOLOGICO,Edición Jun 2024,2023-09-18,9,120.0,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,1,0,0,20
